Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel,Journalists,Experts,"127context hits for ""public"" / ""opinion"""
,,Suspend Opinion,,,,,"aused by other external cause . The captain said otherwise , he could not venture to express an opinion . General Blanco sent a cablegram to Mr. Dubosc charge of the Legation of Spain in Washington"
,Accident,,,,,,"e Secretary of State to express the condolences of his government and his personal sympathies . Opinion officials `` '' MAINE '' '' Key West , February 18 . Twenty officers of Maine , who arrived her"
,Accident,,,,,,"t , February 18 . Twenty officers of Maine , who arrived here last night , declared that in his opinion the cause of the disaster was INTEROR , and that the explosion must have occurred in the powder"
Undecided/Unclear,,,,,,,"to the United States Navy , and the great loss of life . He declined , however , to express an opinion as to the cause . New York , Feb. 17.- One of the regular correspondents of the Associated Pres"
,,,,Undecided/Unclear,,,"17.- Admiral Sicard telegraphed Secretary Long , from Key West this afternoon , that it was the opinion of Lieutenant John Rood , of the ҍaineӠwho had just arrived from havana that the ҍaineӠcannot b"
Attack,,,,,,,"he men talk freely and they as well as the petty officer are almost unanimous in expressing the opinion that the explosion was caused by a large torpedo which was planted in the harbor at Havana befo"
,,Suspend Opinion,,,,,"stroyed by the explosion was lost in the water . Mr. Sigabee , asks in his office , that public opinion suspend their judgment until they have official reports . Creese the official Jinkins and Merri"
,,,Accident,,,,"osion ambassador to Spain . This showed the greatest feeling by this catastrophe which , in his opinion , can not be less than accidental , since the visit of `` '' Maine '' '' in Havana assumed a pu"
,,Suspend Opinion,,,,,"ant Wainright believed was due to the inadequacy of this . Captain Sigabee not want to give his opinion to do the necessary inquiries , and only said that completely ignores the cause . A Spanish off"
,,Suspend Opinion,,,,,"t destroyed by the explosion was lost in the water . Mr. Sigabee asks in his office that public opinion suspend their judgments until official reports have . Creese that Jinkns and Merritt Official s"
,,,Accident,,,,"o the Ambassador of Spain . This showed the greatest feeling by this catastrophe which , in his opinion , can not be less than accidental , since the visit of `` '' Maine '' '' in Havana assumed a pu"
Undecided/Unclear,,,,,,,"gonese '' '' exaggerates , It will be one of the most gross , but not the most . At least in my opinion . - * - With the explosion of the `` '' Maine '' '' we have received the visit of a portion eag"
Undecided/Unclear,,,,,,,"had been caused by fire in the ship , which quickly saw it wrapped in flames and finally sank . Opinion ambassador . London , February 17.- When news of the disaster communicated to the Spanish ambas"
,,Suspend Opinion,,,,,"destroyed by the explosion was lost in the water . Mr. Sigsbee , asks in his office that public opinion suspend their judgment until they have official reports . Creese that Jinkins and Merrit , offi"
,,Suspend Opinion,,,,,"destroyed by the explosion was lost in the water . Mr. Sigsbee , asks in his office that public opinion suspend their judgment until they have official reports . Creese that Jinkins and Merrit , offi"
,,,,Undecided/Unclear,,,"7.- Sicard Admiral telegraphed the Secretary Long , Key West , this afternoon , saying that the opinion of Lt. John Hood , Maine , who has just arrived from Havana , is that the ship may not used as"
Undecided/Unclear,,,,,,,"o communicate the disaster of `` '' Maine '' '' was greatly surprised , but refused to give his opinion . New York , February 17 . One of the correspondents of the Associated Press , in Key West , te"
,,Suspend Opinion,,,,,"n was motivated by external contact , Captain , on the other hand , says he can not venture his opinion on the matter , until it is in possession of data to justify the formulation of a detailed repo"
,,,,,Undecided/Unclear,,"heard everywhere . Police actively works to suppress any disorder . Some newspapers are of the opinion that the catastrophe of steam `` '' Maine '' '' is going to be because of a break with Spain"
Undecided/Unclear,,,,,,,"of any Spanish . After the session ended , none of the members wanted to make ostensible their opinion . Only one , well known for the way he said it was prudent to wait for Spain clarify the myster"
,,,,,Undecided/Unclear,,"he entire press is concerned with the explosion of `` '' Maine '' '' Many newspapers are of the opinion that Spain will not avoid a war with the American colossus . Popular sympathy is for Spain , wh"
,,,,Undecided/Unclear,,,"he Navy , Mr. Long , received this afternoon a telegram from Admiral Sickard saying : '' '' The opinion of Lt. John Hood of '' '' Maine `` '' just arrived from Havana , is that the ship can not be us"
,,,,Undecided/Unclear,,,"vinced that his ship had been destroyed by a floating torpedo . This officer has participated s opinion and the authorities of this city and has asked the Ministry of the Navy sending and mechanical"
Undecided/Unclear,,,,,,,"of any Spanish . After the session ended , none of the members wanted to make ostensible their opinion . Only one , well known for the way he said it was prudent to wait for Spain clarify the myster"
,,,,,,Undecided/Unclear,"also the `` '' Vigilante . '' '' -- -- - Mr. Orving M. Scott , Oregon shipbuilder , gives this opinion . `` `` There are many circumstances that may have determined the explosion of the '' '' Maine."
,,,,,Undecided/Unclear,,"entire press is concerned with the explosion of `` '' Maine . '' '' Many newspapers are of the opinion that Spain will not avoid a war with the American colossus . -- -- AT THE LAST MINUTE . The cat"
,,,,Undecided/Unclear,,,"een destroyed by a floating torpedo . This official has already participated , apparently , his opinion to the authorities in Washington and has asked the Ministry of the Navy sending engineers and m"
,,,,,Undecided/Unclear,,"heard everywhere . Police actively works to suppress any disorder . Some newspapers are of the opinion that the catastrophe in the steam `` '' Maine '' '' is going to cause a break with Spain alread"
,,Suspend Opinion,,,,,"aused by other external cause . The captain said otherwise , he could not venture to express an opinion . Marshal Blanco sent a cablegram to Mr. Dubose , in charge of the Legation of Spain in Washing"
,,,,Undecided/Unclear,,,", February 17.- The Commander in Chief of the Spanish squad was interviewed today to know your opinion regarding the disaster `` '' Maine '' '' . This official said the American ship was carrying a"
Undecided/Unclear,,,,,,,"would wait for him to finish the investigation on the cause of the disaster , before issuing an opinion or to take any resolution . -- -- The news of the explosion Captain General Blanco , sent the f"
Accident,,,,,,,"the explosion of the powder magazine or projectile causing this terrible incident . -- -- Cuban opinion New York , February 17.- M. Castillo , secretary of the Cuban Revolutionary Council , made the"
,,,Attack,,,,"' '' I do not think the explosion of the '' '' Maine `` '' has been accidentally checked : my opinion is that the disaster is the work of an oversight , which makes me think this , that Captain Sig"
Undecided/Unclear,,,,,,,"d also visited and told him that the Spanish navy deeply deploring the disaster . -- -- Another opinion . Key West , Feb. 17.- The Associated Press correspondent says that judging by certain indicati"
Undecided/Unclear,,,,,,,"om the world ? No l'love you , I 'm not osu Well , I , if you do not mind , I would ask him his opinion on the reasons for blowing up the `` '' Maine '' '' . -Whose ? -From war yankee boat , which we"
Undecided/Unclear,,,,,,,"Central Railway , which interviewed a brakeman of the most distinguished . Knight , I know your opinion about what the `` '' Maine '' '' . But , sir , I do not know if those things . You will have he"
,,,,Accident,,,"Weyler arrived here yesterday and said that the explosion of the `` '' Maine '' '' is , in his opinion , due to the carelessness of the crew . It has announced it intends to petition the government"
,,,Attack,,,,"an Junta says : '' '' I do not think the explosion of Maine has been accidentally verified , my opinion is that the disaster is the work of an oversight which makes me think this is the captain Sigab"
,,Suspend Opinion,,,,,"aused by other external cause . The captain said otherwise , he could not venture to express an opinion . Marshal Blanco sent a cablegram to Mr. Dubose charge of the Legation of Spain in Washington"
,,,,,,Accident,"wood , Chief of Naval engineers of the United States and is retired , said yesterday giving his opinion scientist explosion `` '' Maine '' '' was caused by spontaneous combustion , and because of the"
,,,Attack,,,,"' '' I do not think the explosion of the '' '' Maine `` '' has been accidentally checked : my opinion is that the disaster is the work of an oversight , which makes me think this , that Captain Sig"
,,Attack,,,,,"e `` '' Maine '' '' He also said : '' '' It is untrue that Captain Sigsbee has said that in his opinion the '' '' Maine `` '' was blown up by a torpedo or that the explosion caused a torpedo Captain"
Undecided/Unclear,,,,,,,"d also visited and told him that the Spanish navy deeply deploring the disaster . -- -- Another opinion . Key West , Feb. 17.- The Associated Press correspondent says that judging by certain indicati"
Undecided/Unclear,,,,,,,"would wait for him to finish the investigation on the cause of the disaster , before issuing an opinion or to take any resolution . -- -- U.S The `` '' Maine '' '' Washington , February 18.- The Pres"
Attack,,,,,,,"een destroyed by a floating torpedo . This official has already participated , apparently , his opinion to the authorities in Washington and has asked the Ministry of the Navy sending engineers and m"
,,,Undecided/Unclear,,,,"for the moment , no statement about the disaster , but authorized the publication of the news . OPINION OF MR. DINISTRO UNITED STATES Mr. Minister of the United States in Mexico , General Clayton Pow"
,,,,,Undecided/Unclear,,"heard everywhere . Police actively works to suppress any disorder . Some newspapers are of the opinion that the catastrophe in the steam `` '' Maine '' '' is going to cause a break with Spain alread"
,,,,,,Undecided/Unclear,"D ) Long `` '' ISPATCH OF SOME SPANISH ? Mr. Orving M. Scott , Oregon shipbuilder , gives this opinion : '' '' There are many circumstances that may have determined the explosion of Maine . `` `` Fo"
,Accident,,,,,,"te to express the feeling of sympathy from his government and his personal sympathies . -- -- - Opinion officials `` '' Maine '' '' Key West , Feb. 18.- Twenty officers `` '' Maine '' '' who arrived"
,Accident,,,,,,"Feb. 18.- Twenty officers `` '' Maine '' '' who arrived here last night , declared that in his opinion the cause of the disaster was inside and that the explosion must have taken place in the `` ''"
,Accident,,,,,,"y of State to express the condolences of his government , and his personal sympathies . -- -- - Opinion officials `` '' Maine '' '' Key West , Feb. 18 - Twenty officers `` '' Maine '' '' who arrived"
,Accident,,,,,,"Feb. 18 - Twenty officers `` '' Maine '' '' who arrived here last night , declare that , in his opinion , the cause of the disaster was inside and that the explosion must have taken place in the `` '"
Accident,,,,,,,"with a representative of the press occurred on the `` '' Maine '' '' disaster said to be of the opinion that the catastrophe is due solely to the indolence of his crew . -- -- - The investigation Hav"
,,,,Accident,,,"Weyler arrived here yesterday and said that the explosion of the `` '' Maine '' '' is , in his opinion , due to the carelessness of the crew . It has announced it intends to ask the government permi"
,,Suspend Opinion,,,,,"gage have been thrown into the water . The officers and sailors have now dresses posts . public opinion should be suspended until now to investigate . Everyone who was on deck were saved . Merritt Je"
Undecided/Unclear,,,,,,,"The Minister copera details Captain Sigsbee who has already appointed a board of inquiry . ʍMen opinion . ʍBlowing up the `` '' Maine '' '' in Havana Bay , he was greeted with jubilation by those who"
Undecided/Unclear,,,,,,,"the light that gives on the explosion of `` '' Maine '' '' and so ... stupid , in a word . The opinion belongs to a `` '' known employee '' '' of at least -fogonero railways which , if given the opi"
Undecided/Unclear,,,,,,,"terrible disaster of `` '' Maine '' '' is reflected in three or four individuals who gave their opinion , their opinion only , and that all it shows is the need for having brought about shoes more wi"
Undecided/Unclear,,,,,,,"r of `` '' Maine '' '' is reflected in three or four individuals who gave their opinion , their opinion only , and that all it shows is the need for having brought about shoes more wide , to prevent"
,,,,Undecided/Unclear,,,"eet al Key West first , as was intended , but will assemble at Havana tomorrow . Naval attacheճ opinion The Criticism Calls for Investigation . Madrid , Feb. 20.- Captain Sobral , a Spanish naval att"
,,,Undecided/Unclear,,,,"n of two new battleships . New York , February 20.- A special office in Havana said that in the opinion of those who have studied the causes of the explosion of the Maine , the disaster was determine"
,,,,Undecided/Unclear,,,"saying , `` '' Some interviews is said to have had with me are false . I refused to disclose my opinion on the disaster of `` '' Maine '' '' . One of the divers was under the command of Captain Sigsb"
,,,Attack,,,,"ieve the Cubans in New York , and Key West , Spain is responsible , if we take into account the opinion of a distinguished diplomat , the accident was due to `` '' some hotheads who embarked on a boa"
