Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
,,,,Attack,,,"contradicted . Many of the ablest navy commanders believe there was foul play , holding to the opinion that there was nothing about the Maine that would induce spontaneous combustion . Tenders and w"
,,,,Attack,,,"contradicted . Many of the ablest navy commanders believe there was foul play , holding to the opinion that there was nothing about the Maine that would induce spontaneous combustion . Tenders and w"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No one had other clothes than those upon him . Public opinion should be suspended until further report . All offlcers believed to be saved . Jenkins and Merr"
Undecided/Unclear,,,,,,,"nce . i'Aime of the Kiploalon . As to how the explosion may have oc curred , gteat diversity of opinion is ex pressed both In naval and civilian circles . Some navy officers believe spontaneous combu"
Accident,,,,,,,"ion has occurred below . As to the origin of the explosion thero Is still a wide dif ference of opinion , but the coal bunker theory finds many more strong supporters than any other . This theory Is"
,,Attack,,,,,"tary Long positively denied that Cap tain Sigsbeo has In any suppressed tele gram expressed tho opinion that a torpedo caused the disaster , or that It came from an external cause . Court of niiilry"
,,Suspend Opinion,,,,,"ened to ex press their regret . Co'mmander Sigsbee expressed himself , as yet unable to give an opinion as td the cause of the explo sion , lie asks that divers he sent at once -to investigate thorou"
,,,Suspend Opinion,,,,"ton authorities have adopted the only wlse course , in withholding all judgment or xpression of opinion until an investigation shall be made . Upon the auction , how much -iand can a farmer do justic"
,,Suspend Opinion,,,,,"pieces of equip ment still above water- No one had other clothes than those upon him . ' Public opinion should be suspended till further report All officers believed to be saved . Jenkins and Meritt"
Attack,,,,,,,"uring many of the floating bodies and it is feared that but few bodies v ill `` be re covered . Opinion expressed that torpedo was exploded under thebowof the Maine . The Central Cable Co. report to"
Accident,,,,,,,"that those In charge telegraph that they do not want war vessels to be sent there , I am of the opinion that it was an accident , and a terrible one at that . I do not think there is any . cause for"
,,Suspend Opinion,,,,,". Captain Slgsbee , In his telegrams from Havana , states that he is not prepared to express an opinion on this point . . IN THE CENTRAL MAGAZINE . Cable to a New York Paper Say the Kx plonlon Occurr"
,,Attack,,,,,"cretary Long positively denies that Captain Slgsbee has In any suppressed telegram expresed the opinion that a torpedo caused the disaster , or that it came from an external cause . The cap tain said"
,,Suspend Opinion,,,,,"external cause . The cap tain said , cn the contrary , that he could not venture to express an opinion . Senator Burrows , Quay and Penrose were at the white House , rmt tneir business with the pres"
,,,,Undecided/Unclear,,,"Admiral Slcard . Admiral Slcard telegraphs Secretary Long from Key West as follows : `` In the opinion of Lieutenant John Hood of the Maine , who has just arrived from Havana , the Maine can never a"
,Accident,,,,,,"and men who were aboard the warship Maine at the time of the explosion and it is the uni versal opinion of all of them that the ex plosion was due to some interior cause and not the result of the exp"
,,,,,Accident,,"o important dispatches were received by , the departments In , the early hours of the day , the opinion was stronger that the catastrophe to the Malhe was wholly due to accident . ' . Cable Was Not C"
Attack,,,,,,,". Mar People Relieve the Maine Was tilt by a Torpedo . Key West , Fla. , Feb. 19 . The general opinion of many persons here is that the Maine was hit by a torpedo , after which the magazine exploded"
,Attack,,,,,,", was not as severe as the second , which blew up the ship , . Other survivors are of the came opinion that it was foul work . Martin Riordan . a diver of Key West and a survivor of the Maine , has"
Undecided/Unclear,,,,,,,"upward by the rising of the mattress . About 100 of the Maine 's he roes are yet in the wreck . Opinion of Commander Tlarnett , Lieutenant Commander Barnett of the survey boat Bache said to a corresp"
,,Undecided/Unclear,,,,,"note that Captain Sigsbee for at least a third time in answer to questions , has expressed the opinion that the bodies can not be moved from Havana . He has pointed out that their condition is not s"
,,,Undecided/Unclear,,,,"In The Havana Harbor . A LARGE NUMBER OF MARINES KILLED AND WOUNDED . Tho Government is of tho Opinion That fill Investigation Will Bo Made Thought Tmt tho Hour is Ap proaching When This Country Wil"
,,Suspend Opinion,,,,,"ieces of equipment still abovo water . No ono had other clothes than thoso upon him . `` Public opinion should bo suspended till further roport . All officers believed to bo suvod . Jenkins and Morri"
,,,Attack,,,,"SatMltd With Accident . Washington , Fob . 10 . ( Special . ) Gov ernment officials nre of the opinion that tho Maine was not lost as tho result of accident . It Is given out that tho gov ernment Is"
,,,,Undecided/Unclear,,,"in his telegram from Havana , of the same date , stateil that he was not prepared to express an opinion on this point . Sknok De Lome , former Spanish min ister to Washington , sailed from New York ,"
,,,Undecided/Unclear,,,,"nvestigation and full details in the light of which the horror may be just Iy Tiewed . ( eneral Opinion Summarized . Secretarv Ixng undoubtedly sum marized the general opinion of the ma joritv of the"
,,,,,,Undecided/Unclear,"st Iy Tiewed . ( eneral Opinion Summarized . Secretarv Ixng undoubtedly sum marized the general opinion of the ma joritv of the naval experts in finding it impossible just now to state the cause of t"
Undecided/Unclear,,,,,,,"expected that this work will take some time.and while there areofli cers who say that in their opinion it will not be possible , owing to the probably disrupted condition of the hull of the ship , t"
Undecided/Unclear,,,,,,,"bly disrupted condition of the hull of the ship , to make out the cause of the ex plosion , the opinion of the majority is that the question will be easily settled by the simple observation of the co"
Attack,,,,,,,"accident hypothesis , all of which , in the absence of any facts on which to base a reasonable opinion , were de cidedly unsatisfying . At the White House the president spent the evening in his offi"
Attack,,,,,,,"harlior the result of treachery , and an act without parallel in the world 's history . In his opinion war must inevitably follow . `` When the divers go down and examine the hull of the vessel . ''"
,,Suspend Opinion,,,,,"e hundred men atid two officers were lost . The Captain 's report to Secretary Long says public opinion should be suppressed until further report is made . The explosion came at 9:40 last evening and"
,,,,,,Attack,"e question now is whether or not the loss of the Maine was due to injury or design , but public opinion from what intelligence it can gather as well as the opinion of experts , favors the theory that"
,,,,,,Attack,"ue to injury or design , but public opinion from what intelligence it can gather as well as the opinion of experts , favors the theory that it was due to the treachery of the Spanish . Dispatches fro"
Undecided/Unclear,,,,,,,", while inexpressibly shocking the peoplo of the United States , lias hcrvcd to clarify public opinion on our relations to Cuba ami Spain . Tho very fact that such an accident , If accident It was ,"
,,,,,,Attack,"r of the committee on naval affairs , has examined the locatiun of the Maine , and advances the opinion that a torpedo was placed directly under the dynamo and ! the magazine in the bow , thus blowin"
,,Suspend Opinion,,,,,"the result of which it is believed will be the issuing of a ! statement requesting that public opinion be suspended until details of the Maine 's disaster have ! been received . One of our Naval Bur"
,,Suspend Opinion,,,,,"piece ol equipment atlll aboro water . No ono had other ctutho than thoto upou him . `` Public opinion thould ba autpended till further reort . All onicer be lieved to bo avvd , Jenklua and Mer rltt"
Attack,,,,,,,"rbor to be the result of treach ery and aa act without parallel to the world 's history . In hk opinion war must inevitably follow . Why dees th* average man never real tee thni silence k golden unti"
,,,,Undecided/Unclear,,,"d or harsh remarks about the oflicers of the Maine . The reporter in speaking to him quoted the opinion said to have been given by an officer in-'Ee navy of Great Britain reflecting on the discipline"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No one had other clothes than those upon him . Public opinion should be suspended till further re ports . All the officers are believed to be saved . Jenkins"
,,Suspend Opinion,,,,,"equip ment still above ( water ) . `` No one had other clothes than those upon him . `` Public opinion should be suspended till further report . `` All officers believed to be saved . `` Jenkins and"
,,Suspend Opinion,,,,,"quip ment still above ( water ) . 1 `` No one had other clothes than those upon him . `` Public opinion should be suspended till further report . `` All officers believed to be saved . `` Jenkins and"
Accident,,,,,,,"cation of design . Therefore my Impres sion has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been ac cidental . `` At the cabinet me"
,,Suspend Opinion,,,,,"s of equipment still above ( water ) . No one had other clothes than those upon him . `` Public opinion should he suspended un til further report . All otTlerrs believed to he saved . Je'nklns and Me"
,,,,,,Undecided/Unclear,"stly viewed . ! n rat lunllnn ( filler Way . Secretary Long undoubtedly summar ized the general opinion of the majori ty of the naval experts in finding it impossible just now to state the cause of t"
Undecided/Unclear,,,,,,,"will not be possible , owing to the probably disrupted condition of the hull of the ship , the opinion of the ma jority Is that the question will be easily settled 'by the simple observation of the"
,,Attack,,,,,"would made such a hole as that described . . Tbe report that Captain Sigbee tele graphed as his opinion that the Maine was blown up by design is flatly contra dicted at Washington . . Admiral Sicard"
Undecided/Unclear,,,,,,,"Samoa , at the time of'tbe disaster there , was seen at his home in West Newton . Asked for an opinion on the Maine disaster , he said : `` One thing seems to me certain : Tbe less that is said agai"
,,Suspend Opinion,,,,,"dent . Captain Sigsbee in a dispatch to Sec retary Long states he is not prepared to express an opinion on this point . There was intense excitement around the navy department early this morn ing , a"
,,Suspend Opinion,,,,,"Captain Sigsbee in a dispatch to Secretary of Navy Long states he is not prepared to express an opinion on this point . There was intense excitement aro ind tho navy department early this morning , a"
,,,,,,Attack,"vening World from SylvesterScovel under date of today .from Havana , says : `` The consensus of opinion of those who have studied the wreck closely is now that the wreck was caused by a sub marine mi"
,,Suspend Opinion,,,,,"few pieces of oqnlp ment still abovti ( water ) No cue had olothes exoept thorn on him . Public opinion should bo suHpemled nutil fur ther report All crfilours bollavod to bo wved . Jonkins and Msrri"
Attack,,,,,,,"ter was due to Spanish treachery . The court of inquiry alone can dis claim the facts , but the opinion is growing that serious complications may arise as a. result of- the disaster . WASHINGTON , Fe"
,,,,,,Undecided/Unclear,"nt to Havana . '' An Investigation Ordered . Secretary Long undoubtedly sum marized the general opinion of tbe ma jority of the naval experts in finding it impossible just now to state the cause of t"
,,,Undecided/Unclear,,,,"ected that this work will take some , time , and while there are officers who say that in their opinion it will not be possible , owing to the probable disrupted condi tion of the hall of the ship ,"
Undecided/Unclear,,,,,,,"ble disrupted condi tion of the hall of the ship , to make out the cause of the explosion , the opinion of the jnajoyity is that the question he easily settled by the jlinplei observation of the cond"
,,Undecided/Unclear,,,,,"the idea of an internal Explosion as .the last thing to be thought of . PASSED BY THE CENSOR . Opinion of Cnptaln Sigsbee Cnbled From Havana . HAVANA , Feb. 17.—Captain 8igsbee , interviewed by the"
,,Suspend Opinion,,,,,"ieces of equipment still above water . No one had other clothes than those upon him . `` Public opinion should be sus pended till further report . All of ficers are believed to be saved . Jenkins and"
,,Suspend Opinion,,,,,"eces of equipment still above water . No ono had any clothes other than those on htm . Public , opinion should bo suspended until further report . All of ficers bollevid to bo saved . Jenkins and Mer"
Undecided/Unclear,,,,,,,"to the Evening World under today 's date from Havana via Key `` West . says : 'The concensus of opinion of those who have studied the wreek closest is now that the explosion was caused by a submarine"
,,,Attack,,,,"LE- SHIP MAINE Was Blown Up by an Explo sion in Her Magazine . WAS IT AN ACCIDENT ? The General Opinion In washing-ton Is That It Was Not an Accident . Captain Sunrner , of the Brooklyn Navy Tarda ,"
,,Suspend Opinion,,,,,"dent , the result of wbich is believed to be tbe issuing oi a statement re ouestinp that public opinion be sus pended until full reports of Maine dis aster are rereived . The Spanish charge d 'affair"
,,,Undecided/Unclear,,,,"ot . Adams nas ordered flags at half mast . The gover nor declines this afternoon to express an opinion on tbe disaster . Havana , February io . itiatnougnt tbe bodies of many of the American sailors"
Attack,,,,,,,"ana harbor the re-nlt of treachery and an act without parallel in tbe world 's hi-torv . In his opinion , war tmisf , inevitably fo'.low . Wbeo divers go down and examine tbe hull of the vessel , sai"
,,Suspend Opinion,,,,,"ere from Key West after Besætning and the few pieces of artillery that than now afloat . Public opinion bÿr withhold judgment until after further report . All officers are saved . General Blanco and"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No cne had other clothes than those upon him . Public opinion should be suspended till further report All oScers believed to be saved . Jenkins andMerrItt no"
Attack,,,,,,,"a harbor the result of treachery , and an act without parallel in the world 's history . In his opinion war must inevitably follow . `` When the divers go down and examine the hull of the vessel , ''"
,,Suspend Opinion,,,,,"Capt . Sigsbee , in his tele gram from Havana , states that he is not , prepared to express an opinion on this point . Among the matters discussed by the president and the members of the cabi net wa"
,,,Accident,,,,"ble for any man being on board to have escaped had the maga zine exploded entirely . SENATORIAL OPINION . Most of tbe Senators Inclined to Look Up on tbo Dloaater as aa Accident . Washington , Feb. 1"
,,,Undecided/Unclear,,,,"Feb. 16.—Quite a large number of senators were cabled upon during the day and asked to press an opinion on the terri ble disaster at Havana . The jority were disposed to be very conservative in their"
,,Suspend Opinion,,,,,"pro found mystery , and Commander Sigs t > ee , of the Maine , requests a suspen sion of public opinion until there las been an opportunity to establish the li-uth by an investigation . It is only kn"
,,,,Attack,,,"umber Lost in n Explosion of the Maine . SPANISH TORPEDO CAUSED THE DISASTER Is ( ho I'rorniUng Opinion in Naval .Circles -Coiisul-Gcnornl Loo Aslts Atiioriciin i'ooy'o to Withhold Judgment . Until a"
,,Attack,,,,,"ary Txing positively denies that Captain Sigsbco litis In any suppressed telegram expressed the opinion that n torptdo eattsed the disaster or Jhat li came from au external cause . The captain Bald o"
,,,,,,Undecided/Unclear,"of which the horror may bo justly v lowed . Secretary Long undoubtedly sum marized the general opinion of tho majority of tho unvnl experts in find ing It impoitsibte Just now to stnte the cause of"
Undecided/Unclear,,,,,,,"ected that this work will take some time , and whllo there are officers who say that , in their opinion , it will not lie possible , wing to the probably disrupted condition of the hull of the ship ,"
Undecided/Unclear,,,,,,,"bably disrupted condition of the hull of the ship , to make out tho onusu of the eploilou , the opinion of the majority is that tho question will bo easily settled by tho simple observ ation of tho c"
,,,,Undecided/Unclear,,,"d Army men should stand together It Is now , wnun tue sword is nan outoi tho seabbard . Leading opinion of the Grand Army wants to know whether It vvas an aaeident or a dastardly crime If It was an a"
,,,,Undecided/Unclear,,,"s to tho ap pearance of the wreck or In the con flicting stories of the survivors to -hauge tho opinion of tho major . ty of the officers stationed In tho nnvy de partment that tho Maine sunk as tho"
Attack,,,,,,,"Maine sunk as tho osult of nn internal explosion CAPT . SIGSBEE 'S STORY . Itefnaes tn tllvu nn Opinion nt tn the Cnuso of the III , inter . Nkw Yoiik , Feb. 1m . A dispatch to the Ilcrnld from Havan"
,,,Accident,,,,"here yetinlay , tho divers have not yet made any Investi gation of the wreck , and tbe general opinion expressed in Spanish circles is that tho explosion occurred Inside the Mnine . Washington . Feb"
,,Attack,,,,,"tury lontr positively denies that Contain Slgsbeo has In nny sup pressed telegram oxprossod the opinion Hint n torpedo caused the disaster . Tho Cnptnin said , on tho contrary . Unit he could not ven"
,,Suspend Opinion,,,,,"sed the disaster . Tho Cnptnin said , on tho contrary . Unit he could not venture to e ruaa 111 opinion . One of tho rogular staff correspond ents of tho Associated press nt Key West cabled from ther"
Accident,,,,,,,"csuan i-f design . Therefore , my Impression tu been all along , and I rather think the general opinion preponderate in the sine direction , that It must have been accidental ' You may say absolutely"
Undecided/Unclear,,,,,,,"terviews with htm . Tho first merelv said- `` I have consist ently refrained fom expressing any opinion of the Maine disaster . '' Later in the day he wired ' `` No newspaper divers have lcn used on"
Undecided/Unclear,,,,,,,", saying that It would be neces sary to wnlt uutil tho Maina could be raised beforo forming nn opinion as to the cause of the blowing up . The officers callod attention to the fact that divers alone"
Undecided/Unclear,,,,,,,"y succinctly states the matter as it presents itself to every man 's mind when it says : `` The opinion prevails that if a torpedo can so completely demolish vessels liko the Maine , it does not pay"
,,Attack,,,,,"cretary Long positively denies that Capt . Sigsbee has in any suppressed telegram expressed tbo opinion that a torpedo caused tbe disaster , or that it came from on external canse . Tbe Captain said"
,,Suspend Opinion,,,,,"n external canse . Tbe Captain said , on the contrary , that ho coald not venture to express an opinion . A DESCRIPTION . Kky West , Feb. 17 . Lieutenant Blandin , one of tho Maine 's survivors , wbo"
,,Suspend Opinion,,,,,"ve the crew and the few pieces of equipment still above water . Capt . Sigsbee said : `` Public opinion should be suspended until further report . All oflicers believed to be saved . Jenkins and Merr"
,,Undecided/Unclear,,,,,". All agree that a double explosion occurred . Havana : Capt . Sigsbee when asked to express an opinion as to the cause of the explosion said : `` I can not determine the cause , but competent invest"
,,,,,,Undecided/Unclear,"ht of which the horror may be justly viewed . Secretary Long undoubtedly summarized the general opinion of the majority of naval ex perts in finding it impossible just now to state the cause of the d"
Attack,,,,,,,"he accident hypothesis , all of which in the absence of any facts on which to base a reasonable opinion were decid edly unsatisfying . Every confidence is felt at the navy department in the commander"
,,,,,,Accident,"ng two oflicers are missing . Captain Dickens , chief of the navi gation bureau , expressed the opinion that , the explosion took place in the magazine of the Maine . This was evi dent for the reason"
,,,Attack,,,,"South Caro lina . a member of the committee on foreign relations during his service , was of he opinion that some bold man hud gone aboard among the many who doubtle.-s were allowed to visit tho ship"
,,,Undecided/Unclear,,,,"topic of conversation by the sen ate committee on foreign relations at the meeting today . The opinion was generally expressed by the members of the committee to tho effect that the occurrence was o"
